plot,spec,hits
E3C,Salret,0
E3C,Saualp,0
E3C,Silaca,0
E3C,Thaalp,0
E3C,Tofpus,0
E3C,Trices,0
E3C,Vacmic,0
E3C,Vaculi,39
E3C,Vacvit,113
E4SF,Andpol,0
E4SF,Arcalp,69
E4SF,Astalp,0
E4SF,Baralp,0
E4SF,Betnan,261
E4SF,Bisviv,2
E4SF,Callap,34
E4SF,Carbig,0
E4SF,Carcap,0
E4SF,Cardio,0
E4SF,Carnig,0
E4SF,Carrup,0
E4SF,Carvag,2
E4SF,Castet,0
E4SF,Dessp.,0
E4SF,Dialap,0
E4SF,Dryoct,1
E4SF,Empnig,440
E4SF,Equpra,1
E4SF,Equsci,2
E4SF,Erilat,0
E4SF,Erivag,0
E4SF,Eupfri,0
E4SF,Fesovi,38
E4SF,Hupsel,0
E4SF,Juntri,0
E4SF,Linbor,0
E4SF,Loipro,0
E4SF,Luzspi,0
E4SF,Pedlap,1
E4SF,Pinvul,0
E4SF,Pyrsp.,0
E4SF,Rholap,0
E4SF,Rubcha,0
E4SF,Salmyr,0
E4SF,Salgla,63
E4SF,Salret,0
E4SF,Saualp,0
E4SF,Silaca,0
E4SF,Thaalp,0
E4SF,Tofpus,0
E4SF,Trices,0
E4SF,Vacmic,0
E4SF,Vaculi,350
E4SF,Vacvit,1
E4C,Andpol,176
E4C,Arcalp,16
E4C,Astalp,34
E4C,Baralp,1
E4C,Betnan,78
E4C,Bisviv,0
E4C,Callap,11
E4C,Carbig,5
E4C,Carcap,0
E4C,Cardio,0
E4C,Carnig,0
E4C,Carrup,0
E4C,Carvag,7
E4C,Castet,0
E4C,Dessp.,0
E4C,Dialap,1
E4C,Dryoct,0
E4C,Empnig,965
E4C,Equpra,0
E4C,Equsci,59
E4C,Erilat,0
E4C,Erivag,0
E4C,Eupfri,8
E4C,Fesovi,0
E4C,Hupsel,0
E4C,Juntri,0
E4C,Linbor,0
E4C,Loipro,0
E4C,Luzspi,0
E4C,Pedlap,1
E4C,Pinvul,0
E4C,Pyrsp.,0
E4C,Rholap,0
E4C,Rubcha,0
E4C,Salmyr,0
E4C,Salgla,0
E4C,Salret,0
E4C,Saualp,0
E4C,Silaca,0
E4C,Thaalp,0
E4C,Tofpus,0
E4C,Trices,0
E4C,Vacmic,0
E4C,Vaculi,100
E4C,Vacvit,0
E5SF,Andpol,22
E5SF,Arcalp,4
E5SF,Astalp,0
E5SF,Baralp,0
E5SF,Betnan,76
E5SF,Bisviv,0
E5SF,Callap,21
E5SF,Carbig,9
E5SF,Carcap,0
E5SF,Cardio,0
E5SF,Carnig,0
E5SF,Carrup,0
E5SF,Carvag,0
E5SF,Castet,0
E5SF,Dessp.,0
E5SF,Dialap,0
E5SF,Dryoct,0
E5SF,Empnig,455
E5SF,Equpra,48
E5SF,Equsci,84
E5SF,Erilat,0
E5SF,Erivag,0
E5SF,Eupfri,0
E5SF,Fesovi,0
E5SF,Hupsel,0
E5SF,Juntri,0
E5SF,Linbor,0
E5SF,Loipro,26
E5SF,Luzspi,0
E5SF,Pedlap,4
E5SF,Pinvul,1
E5SF,Pyrsp.,0
E5SF,Rholap,0
E5SF,Rubcha,0
E5SF,Salmyr,0
E5SF,Salgla,57
E5SF,Salret,0
E5SF,Saualp,0
E5SF,Silaca,0
E5SF,Thaalp,0
E5SF,Tofpus,0
E5SF,Trices,0
E5SF,Vacmic,0
E5SF,Vaculi,93
E5SF,Vacvit,10
E5C,Andpol,0
E5C,Arcalp,6
E5C,Astalp,0
E5C,Baralp,0
E5C,Betnan,105
E5C,Bisviv,0
E5C,Callap,30
E5C,Carbig,0
E5C,Carcap,0
E5C,Cardio,0
E5C,Carnig,0
E5C,Carrup,0
E5C,Carvag,0
E5C,Castet,0
E5C,Dessp.,0
E5C,Dialap,0
E5C,Dryoct,0
E5C,Empnig,607
E5C,Equpra,0
E5C,Equsci,0
E5C,Erilat,0
E5C,Erivag,0
E5C,Eupfri,0
E5C,Fesovi,0
E5C,Hupsel,0
E5C,Juntri,0
E5C,Linbor,0
E5C,Loipro,0
