plot,spec,hits
E1C,Pyrsp.,0
E2SF,Pyrsp.,0
E2C,Pyrsp.,0
E3SF,Pyrsp.,0
E3C,Pyrsp.,0
E4SF,Pyrsp.,0
E4C,Pyrsp.,0
E5SF,Pyrsp.,0
E5C,Pyrsp.,0
X1SF,Pyrsp.,0
X1C,Pyrsp.,0
X2SF,Pyrsp.,0
X2C,Pyrsp.,0
X3SF,Pyrsp.,0
X3C,Pyrsp.,0
X4SF,Pyrsp.,0
X4C,Pyrsp.,0
X5SF,Pyrsp.,0
X5C,Pyrsp.,0
D1SF,Rholap,0
D1C,Rholap,0
D2SF,Rholap,9
D2C,Rholap,7
D3SF,Rholap,7
D3C,Rholap,0
D4SF,Rholap,0
D4C,Rholap,2
D5SF,Rholap,0
D5C,Rholap,0
E1SF,Rholap,0
E1C,Rholap,0
E2SF,Rholap,0
E2C,Rholap,0
E3SF,Rholap,0
E3C,Rholap,0
E4SF,Rholap,0
E4C,Rholap,0
E5SF,Rholap,0
E5C,Rholap,0
X1SF,Rholap,0
X1C,Rholap,0
X2SF,Rholap,0
X2C,Rholap,0
X3SF,Rholap,0
X3C,Rholap,0
X4SF,Rholap,0
X4C,Rholap,0
X5SF,Rholap,1
X5C,Rholap,1
D1SF,Rubcha,0
D1C,Rubcha,0
D2SF,Rubcha,0
D2C,Rubcha,0
D3SF,Rubcha,0
D3C,Rubcha,5
D4SF,Rubcha,5
D4C,Rubcha,3
D5SF,Rubcha,0
D5C,Rubcha,0
E1SF,Rubcha,0
E1C,Rubcha,0
E2SF,Rubcha,0
E2C,Rubcha,3
E3SF,Rubcha,0
E3C,Rubcha,0
E4SF,Rubcha,0
E4C,Rubcha,0
E5SF,Rubcha,2
E5C,Rubcha,0
X1SF,Rubcha,0
X1C,Rubcha,0
X2SF,Rubcha,0
X2C,Rubcha,0
X3SF,Rubcha,0
X3C,Rubcha,0
X4SF,Rubcha,0
X4C,Rubcha,0
X5SF,Rubcha,0
X5C,Rubcha,0
D1SF,Salarb,0
D1C,Salarb,0
D2SF,Salarb,28
D2C,Salarb,1
D3SF,Salarb,0
D3C,Salarb,0
D4SF,Salarb,0
D4C,Salarb,0
D5SF,Salarb,28
D5C,Salarb,0
E1SF,Salarb,14
E1C,Salarb,0
E2SF,Salarb,0
E2C,Salarb,0
E3SF,Salarb,0
E3C,Salarb,0
E4SF,Salarb,0
E4C,Salarb,0
E5SF,Salarb,0
E5C,Salarb,0
X1SF,Salarb,0
X1C,Salarb,0
X2SF,Salarb,0
X2C,Salarb,0
X3SF,Salarb,0
X3C,Salarb,0
X4SF,Salarb,0
X4C,Salarb,0
X5SF,Salarb,0
X5C,Salarb,0
D1SF,Salgla,0
D1C,Salgla,0
D2SF,Salgla,0
D2C,Salgla,0
D3SF,Salgla,0
D3C,Salgla,0
D4SF,Salgla,0
D4C,Salgla,0
D5SF,Salgla,6
D5C,Salgla,15
E1SF,Salgla,0
E1C,Salgla,0
E2SF,Salgla,0
E2C,Salgla,0
E3SF,Salgla,0
E3C,Salgla,0
E4SF,Salgla,0
E4C,Salgla,0
E5SF,Salgla,0
E5C,Salgla,0
X1SF,Salgla,0
X1C,Salgla,0
X2SF,Salgla,0
X2C,Salgla,0
X3SF,Salgla,0
X3C,Salgla,0
X4SF,Salgla,0
X4C,Salgla,0
X5SF,Salgla,0
X5C,Salgla,0
D1SF,Sallap,13
D1C,Sallap,17
D2SF,Sallap,0
D2C,Sallap,6
D3SF,Sallap,4
D3C,Sallap,0
D4SF,Sallap,1
D4C,Sallap,1
D5SF,Sallap,56
D5C,Sallap,0
E1SF,Sallap,0
E1C,Sallap,0
E2SF,Sallap,21
E2C,Sallap,5
E3SF,Sallap,0
E3C,Sallap,1
E4SF,Sallap,27
E4C,Sallap,0
E5SF,Sallap,38
E5C,Sallap,0
X1SF,Sallap,0
X1C,Sallap,0
X2SF,Sallap,0
X2C,Sallap,0
X3SF,Sallap,0
X3C,Sallap,0
X4SF,Sallap,0
X4C,Sallap,0
X5SF,Sallap,0
X5C,Sallap,0
D1SF,Salret,0
D1C,Salret,0
D2SF,Salret,0
D2C,Salret,0
D3SF,Salret,0
D3C,Salret,0
D4SF,Salret,0
D4C,Salret,0
D5SF,Salret,0
D5C,Salret,2
E1SF,Salret,0
E1C,Salret,0
E2SF,Salret,0
E2C,Salret,0
E3SF,Salret,0
E3C,Salret,0
E4SF,Salret,0
E4C,Salret,0
E5SF,Salret,0
E5C,Salret,0
X1SF,Salret,0
X1C,Salret,0
X2SF,Salret,0
X2C,Salret,0
X3SF,Salret,0
X3C,Salret,0
X4SF,Salret,0
X4C,Salret,0
X5SF,Salret,0
X5C,Salret,0
D1SF,Saualp,0
D1C,Saualp,0
D2SF,Saualp,0
D2C,Saualp,0
