species,plot,hits
Dryas octopetala,X3C,0
Dryas octopetala,X4SF,0
Dryas octopetala,X4C,0
Dryas octopetala,X5SF,12
Dryas octopetala,X5C,11
Empetrum nigrum,D1SF,62
Empetrum nigrum,D1C,139
Empetrum nigrum,D2SF,16
Empetrum nigrum,D2C,7
Empetrum nigrum,D3SF,2
Empetrum nigrum,D3C,4
Empetrum nigrum,D4SF,170
Empetrum nigrum,D4C,63
Empetrum nigrum,D5SF,263
Empetrum nigrum,D5C,0
Empetrum nigrum,E1SF,470
Empetrum nigrum,E1C,630
Empetrum nigrum,E2SF,614
Empetrum nigrum,E2C,639
Empetrum nigrum,E3SF,770
Empetrum nigrum,E3C,1345
Empetrum nigrum,E4SF,440
Empetrum nigrum,E4C,965
Empetrum nigrum,E5SF,455
Empetrum nigrum,E5C,607
Empetrum nigrum,X1SF,93
Empetrum nigrum,X1C,212
Empetrum nigrum,X2SF,56
Empetrum nigrum,X2C,58
Empetrum nigrum,X3SF,103
Empetrum nigrum,X3C,24
Empetrum nigrum,X4SF,114
Empetrum nigrum,X4C,186
Empetrum nigrum,X5SF,42
Empetrum nigrum,X5C,15
Equisetum arvense,D1SF,0
Equisetum arvense,D1C,0
Equisetum arvense,D2SF,0
Equisetum arvense,D2C,0
Equisetum arvense,D3SF,0
Equisetum arvense,D3C,0
Equisetum arvense,D4SF,0
Equisetum arvense,D4C,0
Equisetum arvense,D5SF,0
Equisetum arvense,D5C,0
Equisetum arvense,E1SF,0
Equisetum arvense,E1C,0
Equisetum arvense,E2SF,0
Equisetum arvense,E2C,0
Equisetum arvense,E3SF,0
Equisetum arvense,E3C,0
Equisetum arvense,E4SF,0
Equisetum arvense,E4C,0
Equisetum arvense,E5SF,0
Equisetum arvense,E5C,0
Equisetum arvense,X1SF,0
Equisetum arvense,X1C,0
Equisetum arvense,X2SF,0
Equisetum arvense,X2C,0
Equisetum arvense,X3SF,0
Equisetum arvense,X3C,0
Equisetum arvense,X4SF,0
Equisetum arvense,X4C,0
Equisetum arvense,X5SF,0
Equisetum arvense,X5C,0
Equisetum pratense,D1SF,1
Equisetum pratense,D1C,29
Equisetum pratense,D2SF,0
Equisetum pratense,D2C,0
Equisetum pratense,D3SF,0
Equisetum pratense,D3C,0
Equisetum pratense,D4SF,0
Equisetum pratense,D4C,0
Equisetum pratense,D5SF,0
Equisetum pratense,D5C,46
Equisetum pratense,E1SF,0
Equisetum pratense,E1C,0
Equisetum pratense,E2SF,0
Equisetum pratense,E2C,10
Equisetum pratense,E3SF,0
Equisetum pratense,E3C,20
Equisetum pratense,E4SF,1
Equisetum pratense,E4C,0
Equisetum pratense,E5SF,48
Equisetum pratense,E5C,0
Equisetum pratense,X1SF,0
Equisetum pratense,X1C,0
Equisetum pratense,X2SF,0
Equisetum pratense,X2C,0
Equisetum pratense,X3SF,0
Equisetum pratense,X3C,0
Equisetum pratense,X4SF,0
Equisetum pratense,X4C,0
Equisetum pratense,X5SF,0
Equisetum pratense,X5C,0
Equisetum scirpoides,D1SF,9
Equisetum scirpoides,D1C,2
Equisetum scirpoides,D2SF,37
Equisetum scirpoides,D2C,36
Equisetum scirpoides,D3SF,33
Equisetum scirpoides,D3C,2
Equisetum scirpoides,D4SF,46
Equisetum scirpoides,D4C,2
Equisetum scirpoides,D5SF,1
Equisetum scirpoides,D5C,17
Equisetum scirpoides,E1SF,0
Equisetum scirpoides,E1C,0
Equisetum scirpoides,E2SF,0
Equisetum scirpoides,E2C,0
Equisetum scirpoides,E3SF,0
Equisetum scirpoides,E3C,12
Equisetum scirpoides,E4SF,2
Equisetum scirpoides,E4C,59
Equisetum scirpoides,E5SF,84
Equisetum scirpoides,E5C,0
Equisetum scirpoides,X1SF,0
Equisetum scirpoides,X1C,0
Equisetum scirpoides,X2SF,0
Equisetum scirpoides,X2C,0
Equisetum scirpoides,X3SF,0
Equisetum scirpoides,X3C,0
Equisetum scirpoides,X4SF,0
Equisetum scirpoides,X4C,0
Equisetum scirpoides,X5SF,0
Equisetum scirpoides,X5C,0
Eriophorum latifolium,D1SF,0
Eriophorum latifolium,D1C,1
Eriophorum latifolium,D2SF,0
Eriophorum latifolium,D2C,0
Eriophorum latifolium,D3SF,1
Eriophorum latifolium,D3C,1
Eriophorum latifolium,D4SF,2
Eriophorum latifolium,D4C,3
Eriophorum latifolium,D5SF,0
Eriophorum latifolium,D5C,0
Eriophorum latifolium,E1SF,0
Eriophorum latifolium,E1C,0
Eriophorum latifolium,E2SF,0
Eriophorum latifolium,E2C,0
Eriophorum latifolium,E3SF,0
Eriophorum latifolium,E3C,0
Eriophorum latifolium,E4SF,0
Eriophorum latifolium,E4C,0
Eriophorum latifolium,E5SF,0
Eriophorum latifolium,E5C,0
Eriophorum latifolium,X1SF,0
Eriophorum latifolium,X1C,0
Eriophorum latifolium,X2SF,0
Eriophorum latifolium,X2C,0
Eriophorum latifolium,X3SF,0
Eriophorum latifolium,X3C,0
Eriophorum latifolium,X4SF,0
Eriophorum latifolium,X4C,0
Eriophorum latifolium,X5SF,0
Eriophorum latifolium,X5C,0
Eriophorum vaginatum,D1SF,0
Eriophorum vaginatum,D1C,0
Eriophorum vaginatum,D2SF,0
Eriophorum vaginatum,D2C,0
