plot,species,hits
X1C,Equisetum pratense,0
X2SF,Equisetum pratense,0
X2C,Equisetum pratense,0
X3SF,Equisetum pratense,0
X3C,Equisetum pratense,0
X4SF,Equisetum pratense,0
X4C,Equisetum pratense,0
X5SF,Equisetum pratense,0
X5C,Equisetum pratense,0
D1SF,Equisetum scirpoides,7
D1C,Equisetum scirpoides,0
D2SF,Equisetum scirpoides,14
D2C,Equisetum scirpoides,25
D3SF,Equisetum scirpoides,24
D3C,Equisetum scirpoides,1
D4SF,Equisetum scirpoides,3
D4C,Equisetum scirpoides,2
D5SF,Equisetum scirpoides,0
D5C,Equisetum scirpoides,26
E1SF,Equisetum scirpoides,0
E1C,Equisetum scirpoides,0
E2SF,Equisetum scirpoides,0
E2C,Equisetum scirpoides,0
E3SF,Equisetum scirpoides,0
E3C,Equisetum scirpoides,2
E4SF,Equisetum scirpoides,3
E4C,Equisetum scirpoides,61
E5SF,Equisetum scirpoides,29
E5C,Equisetum scirpoides,0
X1SF,Equisetum scirpoides,0
X1C,Equisetum scirpoides,0
X2SF,Equisetum scirpoides,0
X2C,Equisetum scirpoides,0
X3SF,Equisetum scirpoides,0
X3C,Equisetum scirpoides,0
X4SF,Equisetum scirpoides,0
X4C,Equisetum scirpoides,0
X5SF,Equisetum scirpoides,0
X5C,Equisetum scirpoides,0
D1SF,Eriophorum vaginatum,0
D1C,Eriophorum vaginatum,0
D2SF,Eriophorum vaginatum,0
D2C,Eriophorum vaginatum,0
D3SF,Eriophorum vaginatum,6
D3C,Eriophorum vaginatum,0
D4SF,Eriophorum vaginatum,0
D4C,Eriophorum vaginatum,0
D5SF,Eriophorum vaginatum,0
D5C,Eriophorum vaginatum,0
E1SF,Eriophorum vaginatum,0
E1C,Eriophorum vaginatum,0
E2SF,Eriophorum vaginatum,0
E2C,Eriophorum vaginatum,0
E3SF,Eriophorum vaginatum,0
E3C,Eriophorum vaginatum,0
E4SF,Eriophorum vaginatum,0
E4C,Eriophorum vaginatum,0
E5SF,Eriophorum vaginatum,0
E5C,Eriophorum vaginatum,0
X1SF,Eriophorum vaginatum,0
X1C,Eriophorum vaginatum,0
X2SF,Eriophorum vaginatum,0
X2C,Eriophorum vaginatum,0
X3SF,Eriophorum vaginatum,0
X3C,Eriophorum vaginatum,0
X4SF,Eriophorum vaginatum,0
X4C,Eriophorum vaginatum,0
X5SF,Eriophorum vaginatum,0
X5C,Eriophorum vaginatum,0
D1SF,Euphrasia frigida,0
D1C,Euphrasia frigida,0
D2SF,Euphrasia frigida,0
D2C,Euphrasia frigida,0
D3SF,Euphrasia frigida,0
D3C,Euphrasia frigida,0
D4SF,Euphrasia frigida,0
D4C,Euphrasia frigida,0
D5SF,Euphrasia frigida,1
D5C,Euphrasia frigida,0
E1SF,Euphrasia frigida,0
E1C,Euphrasia frigida,0
E2SF,Euphrasia frigida,0
E2C,Euphrasia frigida,0
E3SF,Euphrasia frigida,0
E3C,Euphrasia frigida,0
E4SF,Euphrasia frigida,0
E4C,Euphrasia frigida,1
E5SF,Euphrasia frigida,0
E5C,Euphrasia frigida,0
X1SF,Euphrasia frigida,0
X1C,Euphrasia frigida,0
X2SF,Euphrasia frigida,0
X2C,Euphrasia frigida,0
X3SF,Euphrasia frigida,0
X3C,Euphrasia frigida,0
X4SF,Euphrasia frigida,0
X4C,Euphrasia frigida,0
X5SF,Euphrasia frigida,0
X5C,Euphrasia frigida,0
D1SF,Festuca ovina,0
D1C,Festuca ovina,0
D2SF,Festuca ovina,0
D2C,Festuca ovina,0
D3SF,Festuca ovina,0
D3C,Festuca ovina,0
D4SF,Festuca ovina,0
D4C,Festuca ovina,0
D5SF,Festuca ovina,21
D5C,Festuca ovina,0
E1SF,Festuca ovina,109
E1C,Festuca ovina,2
E2SF,Festuca ovina,0
E2C,Festuca ovina,0
E3SF,Festuca ovina,0
E3C,Festuca ovina,0
E4SF,Festuca ovina,35
E4C,Festuca ovina,1
E5SF,Festuca ovina,0
E5C,Festuca ovina,2
X1SF,Festuca ovina,1
X1C,Festuca ovina,0
X2SF,Festuca ovina,0
X2C,Festuca ovina,0
X3SF,Festuca ovina,0
X3C,Festuca ovina,0
X4SF,Festuca ovina,0
X4C,Festuca ovina,0
X5SF,Festuca ovina,0
X5C,Festuca ovina,0
D1SF,Huperzea selago,3
D1C,Huperzea selago,4
D2SF,Huperzea selago,0
D2C,Huperzea selago,4
D3SF,Huperzea selago,0
D3C,Huperzea selago,3
D4SF,Huperzea selago,0
D4C,Huperzea selago,0
D5SF,Huperzea selago,2
D5C,Huperzea selago,11
E1SF,Huperzea selago,0
E1C,Huperzea selago,0
E2SF,Huperzea selago,0
E2C,Huperzea selago,0
E3SF,Huperzea selago,0
E3C,Huperzea selago,0
E4SF,Huperzea selago,0
E4C,Huperzea selago,0
E5SF,Huperzea selago,0
E5C,Huperzea selago,0
X1SF,Huperzea selago,0
X1C,Huperzea selago,0
X2SF,Huperzea selago,0
X2C,Huperzea selago,0
X3SF,Huperzea selago,0
X3C,Huperzea selago,0
X4SF,Huperzea selago,0
X4C,Huperzea selago,0
X5SF,Huperzea selago,0
X5C,Huperzea selago,0
D1SF,Juncus trifidus,0
D1C,Juncus trifidus,0
D2SF,Juncus trifidus,0
D2C,Juncus trifidus,0
D3SF,Juncus trifidus,0
D3C,Juncus trifidus,0
D4SF,Juncus trifidus,0
D4C,Juncus trifidus,0
D5SF,Juncus trifidus,0
D5C,Juncus trifidus,0
E1SF,Juncus trifidus,0
E1C,Juncus trifidus,0
E2SF,Juncus trifidus,0
E2C,Juncus trifidus,0
E3SF,Juncus trifidus,0
E3C,Juncus trifidus,0
E4SF,Juncus trifidus,0
E4C,Juncus trifidus,0
E5SF,Juncus trifidus,0
E5C,Juncus trifidus,0
X1SF,Juncus trifidus,5
X1C,Juncus trifidus,0
X2SF,Juncus trifidus,0
X2C,Juncus trifidus,1
X3SF,Juncus trifidus,2
X3C,Juncus trifidus,0
X4SF,Juncus trifidus,6
X4C,Juncus trifidus,0
X5SF,Juncus trifidus,1
X5C,Juncus trifidus,0
D1SF,Linnaea borealis,0
D1C,Linnaea borealis,0
D2SF,Linnaea borealis,0
D2C,Linnaea borealis,0
D3SF,Linnaea borealis,0
D3C,Linnaea borealis,0
D4SF,Linnaea borealis,0
D4C,Linnaea borealis,0
D5SF,Linnaea borealis,0
D5C,Linnaea borealis,0
E1SF,Linnaea borealis,0
E1C,Linnaea borealis,0
E2SF,Linnaea borealis,0
E2C,Linnaea borealis,30
E3SF,Linnaea borealis,0
E3C,Linnaea borealis,0
E4SF,Linnaea borealis,0
E4C,Linnaea borealis,0
E5SF,Linnaea borealis,0
E5C,Linnaea borealis,0
X1SF,Linnaea borealis,0
X1C,Linnaea borealis,0
X2SF,Linnaea borealis,0
X2C,Linnaea borealis,0
X3SF,Linnaea borealis,0
X3C,Linnaea borealis,0
X4SF,Linnaea borealis,0
X4C,Linnaea borealis,0
X5SF,Linnaea borealis,0
X5C,Linnaea borealis,0
D1SF,Loiseleuria procumbens,0
D1C,Loiseleuria procumbens,0
D2SF,Loiseleuria procumbens,0
D2C,Loiseleuria procumbens,0
D3SF,Loiseleuria procumbens,0
D3C,Loiseleuria procumbens,0
D4SF,Loiseleuria procumbens,0
D4C,Loiseleuria procumbens,0
D5SF,Loiseleuria procumbens,0
D5C,Loiseleuria procumbens,0
E1SF,Loiseleuria procumbens,0
E1C,Loiseleuria procumbens,0
E2SF,Loiseleuria procumbens,0
E2C,Loiseleuria procumbens,0
E3SF,Loiseleuria procumbens,0
E3C,Loiseleuria procumbens,0
E4SF,Loiseleuria procumbens,0
E4C,Loiseleuria procumbens,0
E5SF,Loiseleuria procumbens,20
E5C,Loiseleuria procumbens,0
X1SF,Loiseleuria procumbens,3
X1C,Loiseleuria procumbens,43
X2SF,Loiseleuria procumbens,30
X2C,Loiseleuria procumbens,35
X3SF,Loiseleuria procumbens,12
X3C,Loiseleuria procumbens,0
X4SF,Loiseleuria procumbens,8
X4C,Loiseleuria procumbens,1
X5SF,Loiseleuria procumbens,54
X5C,Loiseleuria procumbens,24
D1SF,Pedicularis lapponicum,0
D1C,Pedicularis lapponicum,0
D2SF,Pedicularis lapponicum,0
D2C,Pedicularis lapponicum,0
D3SF,Pedicularis lapponicum,0
D3C,Pedicularis lapponicum,0
D4SF,Pedicularis lapponicum,0
D4C,Pedicularis lapponicum,0
D5SF,Pedicularis lapponicum,0
D5C,Pedicularis lapponicum,0
E1SF,Pedicularis lapponicum,3
E1C,Pedicularis lapponicum,0
E2SF,Pedicularis lapponicum,0
E2C,Pedicularis lapponicum,0
E3SF,Pedicularis lapponicum,0
E3C,Pedicularis lapponicum,0
E4SF,Pedicularis lapponicum,2
E4C,Pedicularis lapponicum,4
E5SF,Pedicularis lapponicum,6
E5C,Pedicularis lapponicum,0
X1SF,Pedicularis lapponicum,0
X1C,Pedicularis lapponicum,0
X2SF,Pedicularis lapponicum,0
X2C,Pedicularis lapponicum,0
X3SF,Pedicularis lapponicum,0
X3C,Pedicularis lapponicum,0
