code,Plot,habitat,site,treatment,number,species,height,fweight,dweight,leafa
E2SF7,E2SF,E,E2,SF,7,Betnan,19.6,0.0957,0.041,4.303557844
E2SF8,E2SF,E,E2,SF,8,Betnan,17.3,0.0815,0.0345,4.444256273
E2C1,E2C,E,E2,C,1,Vaculi,8.3,0.0724,0.0313,3.924956021
E2C2,E2C,E,E2,C,2,Vaculi,4.6,0.0518,0.0205,2.320066973
E2C5,E2C,E,E2,C,5,Betnan,14.3,0.0502,0.0243,2.799151821
E2C6,E2C,E,E2,C,6,Betnan,8.7,0.0474,0.0214,2.429080948
E2C7,E2C,E,E2,C,7,Empnig,9.4,0.0779,0.0372,3.05434873
E2C8,E2C,E,E2,C,8,Empnig,8.1,0.1101,0.0498,3.933916648
D1C1,D1C,D,D1,C,1,Vaculi,6.7,0.1298,0.0505,4.562463778
D1C2,D1C,D,D1,C,2,Vaculi,5.2,0.0756,0.0313,3.101104766
D1C3,D1C,D,D1,C,3,Betnan,6.6,0.05222,0.0187,2.570944536
D1C4,D1C,D,D1,C,4,Betnan,5.8,0.048,0.0216,2.827987247
D1C7,D1C,D,D1,C,7,Empnig,3.6,0.0691,0.0314,2.969653416
D1C8,D1C,D,D1,C,8,Empnig,4.2,0.0604,0.0289,2.661858547
D1SF1,D1SF,D,D1,SF,1,Vaculi,5.6,0.0836,0.0328,3.841336188
D1SF2,D1SF,D,D1,SF,2,Vaculi,4.6,0.1215,0.0485,5.416404651
D1SF3,D1SF,D,D1,SF,3,Vaculi,6.3,0.166,0.0687,7.04063108
D1SF4,D1SF,D,D1,SF,4,Betnan,12.2,0.0981,0.0402,5.181907056
D1SF5,D1SF,D,D1,SF,5,Betnan,18.4,0.0617,0.0298,3.379868079
D1SF6,D1SF,D,D1,SF,6,Betnan,10.3,0.083,0.0321,4.454901413
D1SF7,D1SF,D,D1,SF,7,Empnig,4.7,0.0455,0.0202,2.296572181
D1SF8,D1SF,D,D1,SF,8,Empnig,4.9,0.0516,0.0234,2.518579479
D1SF9,D1SF,D,D1,SF,9,Empnig,5,0.1243,0.0471,5.450938776
E3SF1,E3SF,E,E3,SF,1,Betnan,18.6,0.1109,0.0446,5.099147221
E3SF2,E3SF,E,E3,SF,2,Betnan,14.8,0.0853,0.0343,3.997124264
E3SF3,E3SF,E,E3,SF,3,Betnan,19.1,0.1648,0.0684,7.306096356
E3SF4,E3SF,E,E3,SF,4,Betnan,22.6,0.075,0.0335,3.764149891
E3SF5,E3SF,E,E3,SF,5,Vaculi,7.6,0.0756,0.0295,3.66999266
E3SF6,E3SF,E,E3,SF,6,Vaculi,11.3,0.072,0.0297,3.620530178
E3SF7,E3SF,E,E3,SF,7,Vaculi,10,0.0736,0.0267,4.069418313
E3SF8,E3SF,E,E3,SF,8,Vaculi,4.5,0.0849,0.0351,3.93354052
E3SF9,E3SF,E,E3,SF,9,Empnig,10.4,0.0875,0.0408,3.85466971
E3SF10,E3SF,E,E3,SF,10,Empnig,10,0.1112,0.0489,5.297462308
E3SF11,E3SF,E,E3,SF,11,Empnig,7.9,0.101,0.044,4.51837806
E3SF12,E3SF,E,E3,SF,12,Empnig,6.4,0.1207,0.0576,5.296727471
D1Ca,D1C,D,D1,C,a,Betnan,11,0.0515,0.0227,2.485174384
D1Cb,D1C,D,D1,C,b,Betnan,5.7,0.0606,0.0268,3.193505871
D1Cc,D1C,D,D1,C,c,Vaculi,4.2,0.0714,0.029,2.99467143
D1Cd,D1C,D,D1,C,d,Vaculi,5.2,0.0742,0.0335,3.105764111
D1Ce,D1C,D,D1,C,e,Empnig,5.5,0.0888,0.0376,3.781551792
D1Cf,D1C,D,D1,C,f,Empnig,7.6,0.0803,0.0329,3.697662927
E2SFa,E2SF,E,E2,SF,a,Betnan,11.9,0.0861,0.0372,3.715727407
E2SFb,E2SF,E,E2,SF,b,Betnan,12.3,0.0982,0.0303,4.880061853
E2SFc,E2SF,E,E2,SF,c,Vaculi,9.8,0.0585,0.0213,2.470515059
E2SFd,E2SF,E,E2,SF,d,Vaculi,9.6,0.0692,0.0251,2.616410251
E2SFe,E2SF,E,E2,SF,e,Empnig,9.3,0.1051,0.0468,4.302482363
E2SFf,E2SF,E,E2,SF,f,Empnig,9.5,0.0951,0.0424,4.140923331
X1Ca,X1C,X,X1,C,a,Betnan,10.2,0.04879,0.0232,2.693937193
